case_id,case_name,symbol,tsym,time,utc,open,high,low,close,volumefrom,volumeto,conversionType,conversionSymbol,context_claims
terra_ust_2022,Terra UST collapse,USTC,USD,1652184000,2022-05-10T12:00:00Z,0.9507,0.9507,0.9395,0.9467,21626354.77,20431440.24,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652187600,2022-05-10T13:00:00Z,0.9467,0.9575,0.9467,0.9525,16363172.76,15591544.28,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652191200,2022-05-10T14:00:00Z,0.9525,0.9525,0.9059,0.9209,25750571.35,23931010.79,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652194800,2022-05-10T15:00:00Z,0.9209,0.9249,0.8693,0.9096,46598877.18,41842775.73,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652198400,2022-05-10T16:00:00Z,0.9096,0.915,0.9042,0.9127,23793868.21,21649299.87,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652202000,2022-05-10T17:00:00Z,0.9127,0.9212,0.9079,0.9208,23609318.99,21623534.62,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652205600,2022-05-10T18:00:00Z,0.9208,0.9368,0.9208,0.9363,19063128.58,17821891.08,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652209200,2022-05-10T19:00:00Z,0.9363,0.9363,0.8994,0.9176,31328138.54,28575890.64,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652212800,2022-05-10T20:00:00Z,0.9176,0.9176,0.89,0.9067,24016432.87,21858240.54,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652216400,2022-05-10T21:00:00Z,0.9067,0.9075,0.771,0.7841,83416165.18,68894507.53,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652220000,2022-05-10T22:00:00Z,0.7841,0.819,0.6584,0.7247,121952520.01,89421685.96,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652223600,2022-05-10T23:00:00Z,0.7247,0.8422,0.7247,0.8253,63738786.04,51420402.75,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652227200,2022-05-11T00:00:00Z,0.8253,0.8534,0.8034,0.8128,43804598.86,36363717.6,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652230800,2022-05-11T01:00:00Z,0.8128,0.8136,0.7834,0.7863,35743744.47,28717499.64,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652234400,2022-05-11T02:00:00Z,0.7863,0.8525,0.7545,0.8502,45202516.96,36523337.16,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652238000,2022-05-11T03:00:00Z,0.8502,0.8625,0.8153,0.8433,45503210.72,38014700.2,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652241600,2022-05-11T04:00:00Z,0.8433,0.8537,0.7744,0.7842,61565421.17,50554017.37,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652245200,2022-05-11T05:00:00Z,0.7842,0.7973,0.699,0.7084,100121328.11,74801702.54,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652248800,2022-05-11T06:00:00Z,0.7084,0.7084,0.42,0.4971,275135368.06,163707083.26,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652252400,2022-05-11T07:00:00Z,0.4971,0.5071,0.1994,0.3744,453236914.3,154735197.89,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652256000,2022-05-11T08:00:00Z,0.3744,0.5445,0.3688,0.5211,167401867.91,76291873.89,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652259600,2022-05-11T09:00:00Z,0.5211,0.5228,0.3733,0.4935,197674769.35,90786408.35,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652263200,2022-05-11T10:00:00Z,0.4935,0.6197,0.4553,0.4914,191669168.25,98313130.54,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652266800,2022-05-11T11:00:00Z,0.4914,0.5102,0.4159,0.4709,143576890.78,66521689.87,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652270400,2022-05-11T12:00:00Z,0.4709,0.5184,0.3195,0.3496,225315585.86,93800015.29,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652274000,2022-05-11T13:00:00Z,0.3496,0.5231,0.3093,0.5031,228490978.41,95288392.77,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652277600,2022-05-11T14:00:00Z,0.5031,0.6098,0.4762,0.5335,182296224.11,97935661.87,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652281200,2022-05-11T15:00:00Z,0.5335,0.609,0.4737,0.6012,203977135.2,111669500.11,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652284800,2022-05-11T16:00:00Z,0.6012,0.6932,0.5756,0.6889,192651564.66,124071329.91,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652288400,2022-05-11T17:00:00Z,0.6889,0.7315,0.603,0.7044,118350811.72,81746776.65,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652292000,2022-05-11T18:00:00Z,0.7044,0.7326,0.6822,0.6987,103921887.95,74439032.95,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652295600,2022-05-11T19:00:00Z,0.6987,0.7121,0.6446,0.709,139718560.34,95447423.4,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652299200,2022-05-11T20:00:00Z,0.709,0.7479,0.7019,0.7411,105949760.71,77842265.07,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652302800,2022-05-11T21:00:00Z,0.7411,0.8068,0.7316,0.7886,115355248.36,87921043.09,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652306400,2022-05-11T22:00:00Z,0.7886,0.812,0.7418,0.7877,87140283.51,68789071.08,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652310000,2022-05-11T23:00:00Z,0.7877,0.8321,0.7877,0.8145,76423604.97,62381932.26,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652313600,2022-05-12T00:00:00Z,0.7881,0.8323,0.7756,0.8311,53407240.32,42943804.08,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652317200,2022-05-12T01:00:00Z,0.8311,0.8459,0.7226,0.7466,81402957,64558838.46,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652320800,2022-05-12T02:00:00Z,0.7466,0.7758,0.6327,0.6445,132274310.28,94665851.25,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652324400,2022-05-12T03:00:00Z,0.6445,0.7429,0.576,0.7155,123978117.92,82116758.71,direct,,CLAIM_107
terra_ust_2022,Terra UST collapse,USTC,USD,1652328000,2022-05-12T04:00:00Z,0.7155,0.7247,0.5932,0.6716,62188129.18,42931196.53,direct,,CLAIM_107
